Author,Released,Series,Titles,Datasets
Prell,FY14,ERR-157,Participation in SNAP and Unemployment Insurance: How Tight Are the Strands of the Recessionary Safety Net?,▪CPS ▪ASEC
Kaufman,FY15,EIB-131,"Measuring Access to Healthful, Affordable Food in American Indian and Alaska Native Tribal Areas","▪2010 Census TIGER/Line® Shapefiles ▪2010 Census of Population ▪American Community Survey, 2006-2010 Summary "
Prell,FY15,ERR-192,Annual and Monthly SNAP Participation Rates,▪SIPP and ACS
Rahkovsky,FY15,ERR-195,Food Choices and Store Proximity,▪U.S. Census Bureau (2010 Census Tract)
Scherpf,FY15,ERR-186,Improving the Assessment of SNAP Targeting Using Administrative Records,▪American Community Survey (ACS)
Ver Ploeg,FY16,EIB-157,Comparing National Food Acquisition and Purchase Survey (FoodAPS) Data With Other National Food Surveys’ Data,▪Survey of Income and Program Participation (SIPP)
Ollinger,FY16,ERR-196,"Economies of Scale, the Lunch-Breakfast Ratio, and the Cost of USDA School Breakfasts and Lunches",▪U.S. Census Bureau (School Food Authority Characteristics Study (SFACS))
Rhone,FY17,EIB-165,"Low-Income and Low-Supermarket-Access Census Tracts, 2010-2015",▪2010 Decennial Census ▪2010-14 American Community Survey (ACS)
Coleman-Jensen,FY18,ERR-256,Household Food Security in the United States in 2017,▪U.S. Census Bureau
Saksena,FY18,EIB-196,America’s Eating Habits: Food Away From Home,▪U.S. Census Bureau (Monthly Retail Trade and Foodservices series)
Okrent,FY18,TB-1948,Measuring the Value of the U.S. Food System: Revisions to the Food Expenditure Series,"▪U.S. Census Bureau (sales data—annual, quarterly, monthly, and quinquennial)"
Rhone,FY19,EIB-209,Understanding Low-Income and Low-Access Census Tracts Across the Nation: Subnational and Subpopulation Estimates of Access to Healthy Food,▪Census Bureau’s 2010-14 American Community Survey ▪Census Bureau’s 2010 Decennial Census
"Pender (Todd, Jo)",FY19,ERR-263,The Impacts of Supplemental Nutrition Assistance Program Redemptions on County-Level Employment,▪U.S. Census Bureau’s Consolidated Federal Funds Report
